Address,Amount,UniqueTokens,Percentage,Type
0x723c8d5E40d308059707f0a09F6633Badc75fe6E,1,1,0.300300%,EOA
0x70eA1581cc6Dc04023F41a092912B8FE88D73A4b,1,1,0.300300%,EOA
0x7065836190f9eC3b975f4F5b7741e57Db73Ee458,1,1,0.300300%,EOA
0x6e38e5f2E726F75d19D33F6807B14eF1BF883a60,1,1,0.300300%,EOA
0x6D541B75bFDC332DaFF3Df38B568E410664f726B,1,1,0.300300%,EOA
0x6CFb82b73aD260196cdb5A897E31720c3198ec03,1,1,0.300300%,EOA
0x6C8a6D5a1475C0e35F5022F167Cd191551FF3279,1,1,0.300300%,EOA
0x69ada258f1afDaaFa6d8339c4e6AcC985F2E6459,1,1,0.300300%,EOA
0x696FCa6aa249d4Ea35B69840AB23C4D2D273f756,1,1,0.300300%,EOA
0x6756Fd803CC084d4B48689e69b0Ab85003740a65,1,1,0.300300%,EOA
0x668b4eCFE996b0A7C852Cd372E544054f2DFe011,1,1,0.300300%,EOA
0x663D2d7A1965045127AD148089db3908422B05FF,1,1,0.300300%,EOA
0x64cC15066745D82Bd1d9fFbEb91c4C7de7C6ca48,1,1,0.300300%,EOA
0x645b317226deEBEf8b0669f231Ea446be5958f77,1,1,0.300300%,EOA
0x633005Da4aD96F40C66d86CB3167EE07B22FE97f,1,1,0.300300%,EOA
0x607FE5375f3d891806d2E2268801894222fCd2cD,1,1,0.300300%,EOA
0x5e271D00AB6C4cf8f06c966b567D1d4BbA370d6f,1,1,0.300300%,EOA
0x5e1088B14a3a04150B1e20701a88A37c0aAf58Fc,1,1,0.300300%,EOA
0x5c1400db3994a25bE52787415074a50379F60F6f,1,1,0.300300%,EOA
0x5B509940CeFE446F450f9FA6ba4C073b919afd87,1,1,0.300300%,EOA
0x5a385c61de58553C0387ddd32Ab34d2541c508c2,1,1,0.300300%,EOA
0x59E7A7b46A838478499Aaf6E50de4e7D80EA4437,1,1,0.300300%,EOA
0x5972045C1Baee5c06521b26FD5496E20a7B00807,1,1,0.300300%,EOA
0x5967c5080b0CeA77d6BFc133F3d926753b471501,1,1,0.300300%,EOA
0x5806B8892F0a4EB308855BF6807426721b225F14,1,1,0.300300%,EOA
